listing_id,neighbourhood_cleansed,latitude,longitude,property_type,price
15757847,Ditmars Steinway,40.77176149,-73.90885456,Apartment,75
13922394,Ditmars Steinway,40.77417158,-73.91741909,Apartment,80
16542227,Ditmars Steinway,40.77239427,-73.89110751,Apartment,175
14181211,Ditmars Steinway,40.774871,-73.91196267,Apartment,120
16146960,Ditmars Steinway,40.7773772,-73.91772428,Apartment,48
4874722,Ditmars Steinway,40.7730197,-73.91838793,Apartment,70
3040654,Ditmars Steinway,40.77747952,-73.90971013,Apartment,50
12607802,Ditmars Steinway,40.77420223,-73.91095298,House,138
13941210,Ditmars Steinway,40.77120539,-73.91709902,Apartment,70
679633,Ditmars Steinway,40.77986562,-73.915651,Apartment,75
12867950,Ditmars Steinway,40.78192247,-73.91438736,Apartment,40
11162977,Ditmars Steinway,40.7800017,-73.91672221,Apartment,70
19944735,Ditmars Steinway,40.76993871,-73.90659456,Apartment,105
12864971,Ditmars Steinway,40.7785229,-73.90836043,Apartment,400
13127582,Ditmars Steinway,40.77264944,-73.91400685,Apartment,100
18238083,Ditmars Steinway,40.77655675,-73.90993383,Apartment,40
16015050,Ditmars Steinway,40.77444478,-73.91100103,Apartment,95
1981410,Ditmars Steinway,40.77906491,-73.91264776,Apartment,135
14824090,Ditmars Steinway,40.77882482,-73.91163301,Apartment,95
12988802,Ditmars Steinway,40.77885849,-73.91020185,Apartment,174
1581579,Ditmars Steinway,40.77787193,-73.91472298,Apartment,188
12067200,Ditmars Steinway,40.77228649,-73.91626179,Apartment,68
16916708,Ditmars Steinway,40.77707367,-73.91887378,Apartment,80
20194665,Ditmars Steinway,40.78088442,-73.90819437,House,59
20194264,Ditmars Steinway,40.78082935,-73.91144573,Apartment,125
13115616,Ditmars Steinway,40.77591771,-73.91308101,Apartment,130
20848827,Ditmars Steinway,40.78421074,-73.91626104,Apartment,150
18108648,Ditmars Steinway,40.77763582,-73.91127893,Apartment,100
9182008,Ditmars Steinway,40.77496517,-73.91424902,Apartment,140
1841252,Ditmars Steinway,40.77157383,-73.90697953,Apartment,100
16707621,Ditmars Steinway,40.77218021,-73.91160487,Apartment,95
19274661,Ditmars Steinway,40.77040053,-73.89415188,House,60
12851100,Ditmars Steinway,40.77141365,-73.9141538,Apartment,80
13392143,Ditmars Steinway,40.7764286,-73.91363515,House,29
14163104,Ditmars Steinway,40.7794325,-73.91170191,Townhouse,95
1578776,Ditmars Steinway,40.77435022,-73.91217458,Apartment,59
2756886,Ditmars Steinway,40.76921318,-73.90831481,House,35
8392760,Ditmars Steinway,40.77269718,-73.91582575,House,45
12845943,Ditmars Steinway,40.77329075,-73.91629699,Apartment,40
6357564,Ditmars Steinway,40.77752755,-73.90951982,Dorm,55
20188527,Ditmars Steinway,40.77614098,-73.91324307,Apartment,75
8392882,Ditmars Steinway,40.77018938,-73.90424067,Apartment,80
14421275,Ditmars Steinway,40.76782737,-73.89530052,Apartment,65
12455130,Ditmars Steinway,40.77263648,-73.90781696,Apartment,95
10357730,Ditmars Steinway,40.77650996,-73.91009426,Apartment,38
18221952,Ditmars Steinway,40.77751104,-73.90902311,Apartment,60
6555427,Ditmars Steinway,40.77209291,-73.91095615,House,65
14352688,Ditmars Steinway,40.7783754,-73.91383449,House,60
19530271,Ditmars Steinway,40.76943612,-73.90751446,Apartment,119
4724661,Gerritsen Beach,40.58944153,-73.92745444,House,125
2435198,Soundview,40.82528435,-73.86004376,Apartment,50
16771876,Soundview,40.82987393,-73.86608062,Apartment,70
1739847,Soundview,40.82137716,-73.87602555,Apartment,35
11695338,Soundview,40.82441984,-73.86193,Apartment,45
8402207,Soundview,40.82939197,-73.86513684,House,28
17960424,Soundview,40.82814441,-73.86810575,Apartment,65
18736577,Ozone Park,40.67659916,-73.85708706,House,49
13224318,Ozone Park,40.68278211,-73.85628351,House,49
15058410,Ozone Park,40.68286503,-73.85980775,House,65
18723699,Ozone Park,40.67752007,-73.85040405,Other,45
2477138,Ozone Park,40.67948327,-73.85334879,House,30
18737053,Ozone Park,40.67555307,-73.85652707,House,39
2685940,Ozone Park,40.68399274,-73.85071054,House,80
13953640,Ozone Park,40.68345386,-73.83377822,Apartment,125
13265829,Ozone Park,40.68288335,-73.86036295,House,55
13697001,Ozone Park,40.68225732,-73.84396352,Apartment,25
9944320,Ozone Park,40.68246752,-73.84368201,Apartment,25
2371632,Ozone Park,40.67656625,-73.84083465,Apartment,98
19546150,Ozone Park,40.675568,-73.85144649,Other,100
19951032,Ozone Park,40.69003919,-73.83860548,House,45
21080809,Ozone Park,40.68742777,-73.84121769,House,50
18812810,Ozone Park,40.67863511,-73.84596472,House,115
4830154,Ozone Park,40.68337345,-73.84310256,House,45
15024889,Ozone Park,40.68285181,-73.85247779,Apartment,85
17403646,Ozone Park,40.68582158,-73.83667335,House,55
18077042,Ozone Park,40.67574462,-73.8560128,Apartment,81
16034472,Ozone Park,40.67355254,-73.84398419,House,90
20881491,Ozone Park,40.68304677,-73.85764335,House,39
11474664,Ozone Park,40.68165025,-73.84557705,Apartment,110
7725825,Ozone Park,40.68791629,-73.83752236,House,79
21025488,Ozone Park,40.68463643,-73.84244763,Apartment,155
18548776,Ozone Park,40.67273364,-73.8423213,Apartment,85
5094957,Ozone Park,40.68819455,-73.83945727,House,55
17366174,Ozone Park,40.68571779,-73.84930314,Apartment,69
6023683,Ozone Park,40.67973522,-73.84413453,House,335
11496210,Ozone Park,40.6808386,-73.84765422,Apartment,87
5204719,Ozone Park,40.68325265,-73.85295388,House,70
15008979,Ozone Park,40.67237833,-73.83908621,House,69
19030149,Ozone Park,40.67487867,-73.85568123,Apartment,110
21112584,Ozone Park,40.68462707,-73.84404069,Apartment,100
6576336,Ozone Park,40.6904042,-73.83727382,House,65
21107357,Ozone Park,40.67653448,-73.8609395,House,55
4853647,Ozone Park,40.68559406,-73.84959598,Apartment,99
6032118,Ozone Park,40.6894898,-73.84023006,House,55
4982699,Ozone Park,40.67923872,-73.84771408,Apartment,99
21147340,Fordham,40.85666855,-73.90130069,Apartment,50
20828094,Fordham,40.86901793,-73.88902398,Apartment,70
18898125,Fordham,40.86729773,-73.89742453,Apartment,51
19905952,Fordham,40.85508605,-73.90241052,Apartment,55
16814973,Fordham,40.87020418,-73.89338904,House,50
13359647,Fordham,40.85926899,-73.90142454,Apartment,40
10332161,Fordham,40.85598137,-73.90051521,Apartment,35
12955940,Fordham,40.85395792,-73.89871812,Apartment,34
19588726,Fordham,40.8672904,-73.8904583,Apartment,70
18199127,Fordham,40.87122658,-73.88888404,Apartment,32
12988898,Fordham,40.86032417,-73.88493268,Apartment,130
16814803,Fordham,40.86925005,-73.89534099,House,60
18416347,Fordham,40.86939736,-73.89513529,House,75
21040944,Fordham,40.8669155,-73.88812065,Apartment,40
15300956,Fordham,40.85259686,-73.89938304,House,40
16195143,Fordham,40.86913892,-73.89509569,House,80
16065265,Fordham,40.86871861,-73.89143751,Apartment,140
16337106,Fordham,40.87093413,-73.89339673,House,55
20548992,Fordham,40.85378914,-73.90279038,House,150
13810918,Fordham,40.86362834,-73.89478723,Apartment,60
20626705,Fordham,40.8654243,-73.89785715,Apartment,37
176129,Fordham,40.86271015,-73.88544821,Apartment,62
17045488,Fordham,40.87030703,-73.89322088,House,80
16814382,Fordham,40.87035211,-73.89335298,House,65
13688739,Fordham,40.85859202,-73.89571455,Apartment,65
16351193,Fordham,40.86909071,-73.89396199,House,50
8756017,Fordham,40.86711338,-73.89524814,Apartment,65
17529164,Fordham,40.85928503,-73.90047746,Apartment,45
19604867,Fordham,40.85611939,-73.89742924,Apartment,42
4347219,Fordham,40.86196268,-73.90075097,Apartment,100
17045788,Fordham,40.86917325,-73.89464638,House,60
15176641,Whitestone,40.78572541,-73.81062433,Apartment,85
2698984,Whitestone,40.79720865,-73.81600327,House,280
20575645,Whitestone,40.78881092,-73.82882264,House,250
19887332,Whitestone,40.77743136,-73.81438029,Apartment,80
19360560,Whitestone,40.78080688,-73.82005132,House,40
15099391,Whitestone,40.78723632,-73.82099801,House,110
15345966,Whitestone,40.7864704,-73.82160511,Apartment,100
20728160,Arden Heights,40.55040149,-74.1685397,House,34
9113965,Arden Heights,40.55141952,-74.16901002,House,39
6867897,Arden Heights,40.55165868,-74.16895174,House,35
6314389,Arden Heights,40.55073404,-74.16905213,House,43
259946,Arrochar,40.59262451,-74.06658674,Apartment,125
16087737,Arrochar,40.59678754,-74.0829969,House,31
20452107,Arrochar,40.59641861,-74.0658123,Apartment,119
4981857,Arrochar,40.58768606,-74.0698601,Townhouse,80
19805091,Arrochar,40.59508167,-74.06512944,Apartment,87
19192001,Arrochar,40.5939807,-74.06802415,Apartment,75
15910991,Arrochar,40.59526454,-74.06471486,House,120
258838,Arrochar,40.59251219,-74.06478946,Apartment,250
17716523,Arrochar,40.59346945,-74.06913708,Apartment,125
738588,Arrochar,40.59192979,-74.06476426,House,625
18628272,Arrochar,40.59673624,-74.06470818,Apartment,68
17971822,Arrochar,40.59101996,-74.0723278,Apartment,109
16650268,Arrochar,40.59729661,-74.07132597,Apartment,119
6031948,Arrochar,40.59036818,-74.07816134,Apartment,70
16123943,Arrochar,40.5941171,-74.06954857,House,105
13752815,Arverne,40.59050983,-73.79152455,House,69
13005376,Arverne,40.59170591,-73.79109797,Other,85
7664991,Arverne,40.58873452,-73.79503411,Bed & Breakfast,80
14796074,Arverne,40.58936061,-73.79374455,Guesthouse,299
16244553,Arverne,40.58873196,-73.7957271,House,85
19660760,Arverne,40.59044365,-73.79178511,Apartment,129
